Standard,Clues,ForceTrees,balanced|362836346
93918644-d27f-48fa-a1ae-4587dfc1af39|KS|1
216d4b2e-843f-462d-a04a-155da8b2938f|AC|1
0f0951ec-975e-446d-b434-259a40dde5cc|HC|1
97361c03-6a9c-4e7e-afc2-bbd1fff37ef8|HC|1
dd7b36d5-af5a-44dc-8f2f-071d2729c35a|EC|1
3cb3ac42-c9ca-47be-a6dd-b5415220b07b|EC|1
227e146b-13d0-4043-b0b7-f3a2ceacaa6e|KS|1
eb9be108-9834-4192-a14b-cc6ca5c5eb7a|TP|Grotto
4cd7b2de-aa6d-4ea6-99f0-ed4748765194|AC|1
76b64647-1a59-4fa5-8dbc-9a9db47afe6e|KS|1
ed6776f6-fe53-4fdc-b6c3-82ae8863a0a7|KS|1
1e5ffc6a-4955-442e-8e55-83cc6dc98bae|KS|1
f26afebd-eb6e-4632-b221-92d933a9ce71|KS|1
c54266b0-44eb-4ef9-86cd-8efa8f0e3377|AC|1
e9324310-3a82-49ec-8823-1b79e828b65f|EC|1
effd752c-50ad-4ac0-95fd-fae40eee581c|AC|1
dd61efe0-1721-4ad8-a1ef-9868b0cda7b4|KS|1
5601a577-4fe0-4baa-aa82-24baa01ebcd8|KS|1
5e0ff4fa-86c1-4ac6-afd3-94734b0ec95b|EC|1
aae4f932-9adf-493b-a7c2-610f7155800b|AC|1
00000000-0000-0000-0000-100000000003|KS|1
b905425d-a894-48ae-9c27-0b21e2b11b53|SK|50
b73d5139-430f-4076-8357-91638db8aa4c|AC|1
5525f151-36cf-44bf-924b-8a0ccc9f7854|HC|1
80ba61d0-281f-4fe8-883a-0b04320a5200|SK|0
096fb36f-de47-477e-85a2-7bb9f4a8920a|AC|1
aec98a28-a213-4a32-9149-9189ad294a82|AC|1
20aecfe4-bb54-42ef-b108-365f1bd2d2d2|AC|1
dff38fe5-bc28-4709-875e-4cc7870484b1|KS|1
b3e67ad6-4be0-4fba-b3a9-84dca30eb78e|EC|1
a36910b8-8ab6-4097-8f18-3548d4bc2ebc|SK|8
4570a95a-58c8-41bd-b5b3-13948d1cecf1|MS|1
01216f37-d036-4d76-ab97-5036b92121b0|KS|1
99d20fdb-93ae-4a56-8099-50db65fcc038|EC|1
055b2efc-5c0d-48df-b459-c0597a6157a0|AC|1
4319a75b-01d6-49c0-9bac-1d10f5c59a82|EC|1
32419a38-e045-48dc-b9af-84f192f34b68|HC|1
abaaf3cb-a9f3-45f0-8755-c09dc03dfdfa|AC|1
3dac0d06-0ea7-466c-a959-9583f15f1d56|AC|1
cb8e6952-0852-4337-84ac-4adbca2e2b73|AC|1
290b4d70-e069-4bab-948a-473bdb723377|HC|1
3b098597-20a4-4471-80bd-d0bf1d84ed14|EC|1
fb37b950-223e-4e1e-9261-11fa135a4bde|KS|1
12728fe9-7224-46aa-b315-7790e2bd8efc|AC|1
a3e8287b-7f53-497f-9dd2-92e6807d9f35|HC|1
00000000-0000-0000-0000-100000000004|KS|1
f647b2e0-1032-4cea-9fa9-f13e0ffa660f|KS|1
d903d308-ba71-4ed4-a5a8-27d1c01250e3|TP|Swamp
981f27e8-b14d-474a-a2f0-99eb418d45a1|EC|1
04161042-6b23-48d3-9278-222a5d3f9466|AC|1
07983731-614c-4123-8bec-1eb036fbdceb|AC|1
9b46304b-0b29-4d72-bb28-c6068ef3304b|HC|1
09b053bd-87bb-4718-9419-e5689f618233|MS|1
ca00fedb-6d8d-4091-95aa-4e49d9583a1c|TP|Sorrow
aa4ee768-a4ab-456f-8c38-4d7433ca6c81|TP|Horu
14684bd4-ce7e-4c3d-ba2d-4673104d8e86|KS|1
d368611b-b65c-432d-b62b-2c15b33eccfd|AC|1
5b154bb4-59ea-4135-96a8-d7cfb51870eb|MS|1
4dc498b4-9f8d-4779-ab12-4cce964d211d|MS|1
01ea51a6-9586-4d16-ac13-847fec4637e0|KS|1
818751c2-f958-4afa-b71d-d39f9853461d|KS|1
00000000-0000-0000-0000-100000000005|EX|80
00000000-0000-0000-0000-100000000006|AC|1
ce467c66-3616-4596-b052-3aa36b9daeab|KS|1
e601dd92-c65c-4cf1-b442-accf961e6ab7|MS|1
6c13aced-1bd4-447e-a57d-c373a50142fb|AC|1
12525396-13fd-4658-a7c3-8df57bac078e|EC|1
917c444e-b83e-4bc9-b7e6-93e2d8ee695e|AC|1
00000000-0000-0000-0000-100000000007|AC|1
66dabcc6-dafa-47a4-9c2d-0be6f915198c|SK|2
b31bf78c-695a-4594-aad6-822f9b42f767|AC|1
910dce6f-b896-42d9-b764-e5ef2ba9e471|AC|1
10919728-d585-443e-8e2d-86af53161f7c|MS|1
dbc518b6-ec15-4d73-88c0-0aee01e1614c|KS|1
3848b58f-6b4d-458c-82c5-d12da775c239|EC|1
195e0dd8-4871-40db-9c6a-a8912684e944|KS|1
d1f5b054-1050-44dd-bd77-53cc3d430dd3|SK|14
8b7d005c-614e-42b3-9d38-9ee16313f668|MS|1
d5b98071-5721-4e15-b2a4-62fde346be0d|KS|1
8395174a-d06d-461b-ba37-b9dd97ee322b|EC|1
e9ca9858-3abd-43b2-8f5e-233529859842|AC|1
f8927d97-73bb-405d-bc66-a97d29b7de94|AC|1
a7ec42f9-1245-447f-b14c-2af1a282c12b|SK|3
3c8775ce-69a3-402e-869f-e78529dab898|EC|1
ed79b633-818d-4a00-844e-998fd2745b41|AC|1
09b3ac61-4972-4448-996b-93bc56222643|KS|1
d7491440-a5d3-40f0-a937-7b2e4cc1a95e|HC|1
a306b326-2662-4035-9c97-2c4459f84a71|HC|1
40675dbd-5f3c-4e1c-86ee-c7241c5fdd52|TP|Forlorn
3c59543f-9c36-43cc-9aab-69d859cae9ea|KS|1
467cdd0a-d736-4d51-af19-eee884ee066f|HC|1
00000000-0000-0000-0000-100000000008|AC|1
c068bb67-aed3-470c-90d2-c37fadd4f294|KS|1
20d96007-fe1e-4469-b5fb-5c5f1f72e68f|AC|1
817a54c5-92b6-47da-8891-59b51020b2c3|HC|1
08b6537c-6090-4ff2-96ea-ee4123feb799|MS|1
00000000-0000-0000-0000-100000000009|EX|62
13f2bf4e-fa2c-46c8-bd24-8e3e4bb27e55|AC|1
654eae78-1b9e-4554-85a3-10523617bcf5|TP|Valley
a550b330-e931-42cc-b00c-50ca36143ee7|SK|4
92a35133-5de9-4bc5-83c6-9b359d9a0fbf|AC|1
6bb0cafc-6dd1-47f2-85dd-8567b3a60e15|EX|7
956197d9-4af7-452c-931a-2c45f33435d2|EX|58
f39ac231-0153-4a0a-b897-ebcb6dafb626|EX|47
e03c5ccc-09ed-4f74-9aa2-82335dd6f538|EX|73
79cf7fce-01e9-44a3-8568-f2b243baeb7d|EX|57
8f928efd-0550-4c86-835a-d813bd8aacd3|EX|48
308487d6-451c-40f4-86a2-631ea7a4ff93|RB|13
45d1f68e-1e7b-4bad-8f20-185f34fe8c8a|EX|69
07e6b6ae-01ba-42cf-b468-b32d2347feb3|EX|19
d15bed0b-b493-4931-8822-4f8c91a782d3|EX|64
930cc8c6-d894-4be9-8b68-5ddb33e2cc9a|EX|48
10d7d1cd-05a1-4cda-8358-ffb70309ada4|EX|36
35b2689e-8ecb-4f4d-9434-10b9bfdc778e|EX|16
e2a87ba7-6179-439e-b610-0f424d600fef|RB|0
1a34da08-b071-434c-bb16-5061d90dbb23|EX|37
ce03775a-859f-4117-b88c-4e5cdcd63abe|EX|62
f8c47a8b-74d8-495f-8920-a2fcb9c83a0a|RB|1
9a078c11-d254-4bef-823f-9b8c9a224936|EX|78
191a7af3-09ce-400a-b46f-c42e3795a91a|EX|90
5fd73676-79aa-4489-877e-0f0be62e5c8e|EX|58
7774dc60-7d2c-43cf-8be8-75a2eb8ad89e|EX|89
c09a7bd5-d703-40ec-92b9-c3a840478aa8|EX|21
3d70c596-68de-4606-8f2e-c132ac4021f6|EX|74
86516ca1-f515-4d4c-a01a-48370ad334d6|RB|15
82e91575-ec36-4bfa-b050-e87fc3684cb5|EX|114
ffb8ac3d-8be4-4dbf-aa37-c7cec997d207|RB|15
3dc121cd-1460-4387-aad8-88c700d97dab|RB|9
febeb52a-4b83-4385-b0f2-c8c3a863f646|EX|1
008f4c83-8e59-4640-9bdd-ac60a7c121c0|EX|109
ac4c2a10-b3c3-4805-bc4d-d8dd51b2fe34|EX|104
dad100fb-2cd5-4796-9eb3-5833e513a583|EX|30
1b390cdd-e654-4a83-8aa6-d5235333a1c4|EX|21
82db7562-639e-4a64-ab5e-f042096c5d9b|EX|89
dbd78938-437d-4bad-bac3-6f9f3471fd62|EX|87
d1306ce2-990b-4d51-bce3-2e5557927670|EX|28
41f363b4-1d7b-4788-9bf0-66d56fd82b9c|EX|113
38f99d93-1c86-4ca5-a782-4c79a8f30311|EX|18
fe6f5315-4db5-42e9-b240-d25ae5e4aff2|RB|1
83819798-2573-4af5-8bf9-70c5d9d0c68d|EX|83
753b9eef-37af-45ae-8628-194312e1c752|EX|76
2da844e9-4e55-4ec0-a71a-b0c6abd6e1b0|EX|128
9f0907c3-fc53-4943-910e-79cef197c9bf|EX|79
08edaf56-f649-4e8c-8ee6-0fab727507d7|EX|66
8cf24909-516f-45c8-bf81-02eb36b55607|EX|109
f9f705a1-e2c4-4856-a6b3-ce08a0b15807|EX|11
bcd84bf8-2b02-442a-bd2d-798687ead2aa|EX|118
e9cec978-351e-4ab4-b37b-c3d90b11e17e|RB|1
d8e6c0cd-f194-4913-8776-f23882161070|EX|142
b4f9a336-4147-49e4-8ea6-83d46493c154|EX|126
c06b2949-b01a-4c67-a44f-ae2c9476ebb8|EX|6
a2512573-18dc-46c4-81da-5e5a2ec38f10|EX|160
22e628e7-af91-4630-8e1c-b9d6ce0a7fcd|EX|153
726bbbb9-339f-4b6f-baf0-05a02c215385|EX|101
61414408-5868-442c-9abf-728f9fb0f4a7|EX|121
7cdc17a4-5448-44c2-890a-ce1ba09f6e66|EX|29
b9240859-43a5-428b-a81d-ba79a65cf253|EX|14
9c56d300-6891-4876-9756-2659b8887ad3|EX|4
a72abfba-4389-4714-a5f4-1fd606ac7dd8|EX|13
7523b755-e9e4-407e-83ef-1c1f7210d310|EX|90
69616e29-9a5d-4382-89fb-6d17a8748780|EX|128
8da3969b-7ae7-4894-8801-49727a1634e7|EX|78
f648eef0-1c8b-449b-bf87-8260ba65ffab|EX|29
5c65dca8-1dab-410f-a03a-a6cdacb3a273|EX|33
cd85689a-a50c-4923-8621-135a443a76f9|EX|152
111c6aa1-9b11-49d6-b20e-80af97f0c8c7|EX|170
56a4b631-7d43-4fda-9d5f-ac1d454bcab9|EX|212
c563573f-ebfc-4b8f-8e2d-16aebd0a8698|EX|204
cf38993c-f94f-45b8-b0f9-119e257c02d7|RB|6
f7c585e3-3b73-42ab-8664-56a17a85a238|EX|223
a976fb6d-0db9-4ff3-becb-fd8cb98e7e98|EX|88
eae7b2e1-351d-4b55-8b92-9fa04b307d36|EX|107
e8e62373-8d78-474c-bc2e-76244cfd5220|EX|130
de067109-811d-4138-9856-4836f217ece3|RB|15
46f35914-7b0b-4322-8c1d-3ffa1d9c8ab7|RB|13
ff0edbb1-882e-4221-a5e0-bfe3136611e3|EX|69
0eadcdde-8f34-488a-b6ef-b12581a2b27a|EX|202
a296680b-4a68-4a3e-b664-0a95f6c9893c|EX|136
50ffb37d-475f-48f3-911a-bb1c5ba6dd79|EX|12
e8700000-f30c-4294-9a2d-51410549c601|RB|0
bb66f074-a98b-4356-abcb-57cf153fad7a|EX|197
77ab5ca3-78e5-4c95-80bf-c829fe0db9cb|EX|132
4ca2a5dd-bfeb-4c25-95a2-61e6b0c37d07|RB|6
2f9b8590-168f-4a66-9543-4fce8b1a1035|EX|91
b91ec03d-b110-4d53-960f-724dc406a7f7|RB|6
54116d93-15e8-43ce-b34a-4b01e795be11|EX|185
47513f30-c883-46f0-9193-8f30c1d3b060|EX|9
c3044298-0f52-44cc-a4e7-396db2822ef0|RB|11
ce0c05d0-dc62-4a92-adf9-85440516b089|EX|80
5e563952-174f-42be-ab22-17a901dd29e0|EX|91
8ed1a92b-a8ad-4d10-ab44-fc79e93a900d|RB|13
a067bd11-efc4-4b4f-8d82-9b51ddf209ce|EX|255
117b3edb-dc08-4488-b9a0-391ab9d57960|EX|288
77bcf456-5d29-4010-af33-bc913b951a93|EX|173
10eb191f-dac8-45bb-9c86-dc3ed1c77cc0|EX|227
5e483d15-dfef-408d-9545-d70633769e81|EX|49
aec7c676-e2fe-4b4b-8af4-5c9674aac8b9|EX|175
920137e5-c082-428b-93a1-bcb8f67a0748|EX|104
61b87fae-1434-409e-98c4-6c79598a9e73|EX|214
43c5043b-4b30-4cc3-84e3-baedb5e5a378|RB|12
8eae37fc-ca7a-4f9b-904b-47384ed8ec39|RB|10
0cc53366-fc0f-4163-9021-ece2ae0751bc|EX|199
40872a5d-1d65-46c9-bd05-39b991ebce58|EX|98
62b3451f-85cd-423e-941c-8fbe4589ee55|EX|226
1a3b17d1-5331-4315-885c-c4a012e527f4|EX|255
dcb47a2b-3a57-45ef-80c7-a58a2861972b|EX|69
5db1c38e-62da-4839-b5dd-1b28db826a1c|EX|297
965ca68c-a41d-47a4-ac63-64a932c04177|EX|84
ebe89d18-678d-4654-84a2-ca94fe1831a2|EX|27
1e459051-fb73-4ce9-82e3-43777566bf19|EX|72
1a7fd156-3c71-4618-99ee-454c9aab2f27|EX|9
46555a18-aec8-4943-a12b-fa5782d65b42|EX|297
f93ca13c-c7bc-4b3f-bcc0-3c7b30b2c4a9|EX|86
88d96765-325c-4dfc-9167-25020be791d9|EX|342
da60ec6f-c4ba-493b-b4bd-4f7d8218a73a|EX|5
2f17c5d1-fdf5-46b1-9374-85daa832911a|EX|110
9eeb188b-99e3-4783-bbe6-e5440fe8faca|EV|3
a334b21b-691d-4b79-b149-4027b2aed3e5|EV|2
958dfa0f-6ab3-422e-b1e1-98a71eef37ba|EV|5
2c561421-dc69-4148-a65e-4a264c5305c7|EV|1
94a7bf35-e1f1-4be6-ab6d-276d18e36fe6|EV|4
d61613b4-d469-40ab-afe7-d5ffd438ce90|EV|0
